집회 날짜,집회 일시,집회 장소,신고 인원,관할서,비고
2019.02.20,05:30∼07:30,무지개아파트 서초동,400,서초,
2019.02.20,05:30∼09:00,논현아이파크 논현동,100,강남,
2019.02.20,05:30∼11:00,경인로63길 17 신도림동,500,구로,
2019.02.20,08:00∼18:00,대우건설 새문안로,100,종로,
2019.02.20,09:00∼12:00,강북씨엔지 쌍문동,24,도봉,
2019.02.20,09:00∼18:00,파크하얏트호텔,400,수서,
2019.02.20,10:00∼13:00,서대문구청 연희동,50,서대문,
2019.02.20,10:00∼16:00,마포구청 광장 성산동,200,마포,
2019.02.20,11:00∼17:00,롯데홈쇼핑 양평동,100,영등포,
2019.02.20,11:30∼12:30,카무르파트너스,500,강남,
2019.02.20,12:00∼13:00,일본대사관 율곡로,100,종로,
2019.02.20,12:30∼13:30,북촌로11길 112,200,종로,
2019.02.20,13:30∼14:30,세종로소공원 세종대로,5000,종로,
2019.02.20,14:00∼15:00,더민주당사 여의도,800,영등포,
2019.02.20,14:00∼17:00,BH사랑채 효자동,500,종로,
2019.02.20,15:00∼15:40,더민주당사 여의도,800,영등포,
2019.02.20,15:00∼16:30,세종로소공원 세종대로,5000,종로,
2019.02.20,16:30∼18:00,세종로소공원,5000,종로,
2019.02.20,17:00∼18:00,금천구청,200,금천,
2019.02.20,19:00∼20:30,자유한국당사 영등포동,300,영등포,
2019.02.20,19:00∼21:00,광화문 세종로,100,종로,
