집회 날짜,집회 일시,집회 장소,신고 인원,관할서,비고
2019.02.16,05:30∼11:00,경인로63길 신도림동,500,구로,
2019.02.16,11:00∼12:30,광화문KT 세종로,200,종로,
2019.02.16,13:00∼15:00,세종문화회관,300,종로,
2019.02.16,13:00∼18:00,파이낸스빌딩 태평로1가,10000,종로,
2019.02.16,13:30∼17:30,동화면세점 신문로1가,500,종로,
2019.02.16,13:30∼18:00,서울역광장 봉래동,10000,종로,
2019.02.16,14:00∼15:00,광화문KT 세종대로,50,종로,
2019.02.16,14:00∼16:00,동아일보 세종로,500,종로,
2019.02.16,14:00∼16:00,사랑채 관훈동,300,종로,
2019.02.16,14:00∼16:30,교보빌딩 세종로,500,종로,
2019.02.16,14:00∼17:30,보신각 종로1가,300,종로,
2019.02.16,14:00∼18:00,광화문KT 세종대로,30,종로,
2019.02.16,14:00∼18:00,대한문 정동,1500,종로,
2019.02.16,15:00∼16:00,수운회관 경운동,200,종로,
