집회 날짜,집회 일시,집회 장소,신고 인원,관할서,비고
2019.02.19,09:00∼18:00,에이스건설 문래동,40,영등포,
2019.02.19,10:00∼12:00,성북구청 삼선동,100,성북,
2019.02.19,10:00∼13:00,서대문 구청 연희동,50,서대문,
2019.02.19,10:00∼15:00,마포구청 광장 성산동,200,마포,
2019.02.19,11:00∼12:00,성북구청 삼선동,30,성북,
2019.02.19,11:00∼12:00,KAL빌딩 서소문동,30,남대문,
2019.02.19,12:00∼14:00,코오롱글로텍 마곡동,200,강서,
2019.02.19,12:00∼13:30,시청 태평로 1가,300,남대문,
2019.02.19,12:30∼15:00,효봉빌딩 입정동,300,중부,
2019.02.19,14:00∼16:00,LG트윈타워 여의도,200,영등포,
2019.02.19,14:00∼17:00,BH사랑채,500,종로,
2019.02.19,14:00∼18:00,지역사회교육회관 방이동,60,송파,
2019.02.19,15:00∼17:00,더민주당사 여의도,70,영등포,
2019.02.19,19:00∼21:00,광화문 남측광장 세종로,100,종로,
